Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1885,-22.7,-14.2,-5.9,0.1,9.9,15.4,16.6,13.8,8.6,1.1,-9.4,-11.5,0.2
1886,-11.8,-15.3,-10.9,1.7,8.3,13.1,18.9,16.4,9.9,-2.1,-9.5,-7.1,1
1887,-18.2,-12.1,-8.1,2,11.5,19.4,18.6,16.3,12.3,0.6,-5,-10.6,2.2
1888,-17.8,-17.7,-9.1,5.6,13.7,17.4,21.4,15.3,11.1,2.4,-10.8,-21.6,0.8
1889,-17.3,-12.9,-8.8,3.8,10.9,15,16.9,17.2,11.1,-0.4,-13.1,-14.1,0.7
1890,-16.2,-13.3,-7.2,1.4,3.7,17.5,21.2,15.5,9.8,4.1,-17.4,-12.3,0.6
1891,-18,-14,-2.6,0.5,11.5,15.6,17.8,15.9,7.9,-4.1,-13.8,-15.4,0.1
1892,-18.4,-15.2,-8.4,-0.1,14,18,20.5,17.2,10.1,1.7,-8.6,-19.2,1
1893,-25.8,-14,-2.5,4.8,7.9,16.2,18.9,15.4,12.2,2.5,-4.6,-13.8,1.4
1894,-17.5,-8.7,-9.4,-1.1,12.9,15.2,16.2,17,9.6,0.3,-11.7,-17.2,0.5
1895,-18.5,-20.4,-5.9,-1.3,8.6,15.2,19.4,17.5,10.2,4.7,-8.5,-17.7,0.3
1896,-20.1,-15.3,-10.4,-1.5,13.1,15.5,19,999.9,9.6,5.3,-9.5,-17.1,999.9
1897,-17,-17,-11.9,1.7,13.7,16.8,17.2,15.2,11.5,0.1,-9.4,-18,0.2
1898,-12.9,-20.1,-15.8,1,9.7,16.6,20.2,16.1,12.3,-2,-7.9,-9.7,0.6
1899,-13.1,-13.5,-9.1,3.7,11.5,17.3,15.6,17.3,11.9,6.7,-1.9,-18,2.4
1900,-20.2,-13,-4.8,-0.3,13.9,17.1,18.9,16.8,8.8,3.9,-9.7,-12.7,1.6
1901,-20.6,-8.8,-4.8,4.9,12.2,16.8,19.8,14.1,7.5,0.3,-6.7,-17.9,1.4
1902,-16.2,-11.6,-8.5,-0.2,10.6,16.7,22.6,18.1,9.2,-2.2,-14.1,-20.8,0.3
1903,-17.1,-9.7,-8.4,5.5,7.9,15.8,19.2,17.1,9,-0.7,-8.1,-13.3,1.4
1904,-13,-13.7,-6.8,2.3,12.7,16.3,999.9,17.1,9.9,3.3,-4.5,-14.8,999.9
1905,-16.8,-12.4,-10,1.2,11.5,14.9,16.9,15.6,12.1,5.5,-3.6,-8.3,2.2
1906,-18.7,-17.6,-3.2,6.2,12,17.5,20.2,18.4,9.1,0.3,-8.3,-12.2,2
1907,-22.7,-14,-6.8,4.4,8.5,15,20.6,18.2,10.8,0.2,-13.1,-18.9,0.2
1908,-20.6,-14.3,-11.6,3.7,10.6,15.3,15.4,15.6,9.9,-1,-9.3,-15.7,-0.2
1909,-17,-13,-9,4.9,10.6,18.4,19.7,14.8,11.2,3.4,-2.3,-10.5,2.6
1910,-15.1,-14.6,-8.3,3.4,11.8,14.3,20,17,10.4,-0.8,-8.5,-12.6,1.4
1911,-17,-18,-8.5,4.4,8.6,19.7,23.1,14.4,8,1.1,-3.2,-11.8,1.7
1912,-13.2,-20.1,-9.3,2.4,12.9,17.9,18.6,14.4,11.3,-3.7,-9.2,-17,0.4
1913,-18.1,-18.2,-5.6,0.1,9.7,15.8,18.4,17.1,8.5,-0.4,-3.4,-6.6,1.4
1914,-14.2,-11.4,-9.6,-0.3,11.6,13.9,14.2,17.7,9.7,-0.4,-8.5,-12.7,0.8
1915,-17.1,-8.7,-9.5,5.1,13.9,21.1,20.2,17.5,10.6,-2,-4.9,-16.3,2.5
1916,-13.8,-12.6,-8.9,2,10.4,17.6,17.3,13.9,11.6,2.3,-6.3,-15.7,1.5
1917,-14.1,-17.9,-12,6.1,10.5,12.6,19.5,12.8,12.6,4,-2.2,-14.5,1.5
1918,-12.3,-15.9,-11,1.6,6,17.6,19.1,16.5,9,3.7,-6.3,-17.7,0.9
1919,-20.6,-16.7,-11.1,4.9,8.2,14.4,17.3,16.1,8.9,3.8,-11.2,-16,-0.2
1920,-16.1,-18.3,-3.3,6.4,14.1,20.2,17,16.1,9.8,-4.5,-11.8,-17.3,1
1921,-12.7,-18.5,-6.3,4.5,11.3,22.6,19.6,13.4,8.9,3,-5.8,-15.5,2
1922,-19.5,-18.6,-5,2.3,12.6,16.2,18.1,15.2,9.1,-0.9,-4.5,-8.7,1.4
1923,-14,-16.2,-8.6,-1.2,9.7,19.3,19.6,16.7,11.3,6.2,-3.1,-10.2,2.5
1924,-18.4,-16,-6.6,5.1,10.5,15.4,18.8,14.9,9.9,2.8,-5,-11.8,1.6
1925,-13.5,-9.6,-6.6,1.4,8.8,17.5,17.2,17.7,11.4,3.1,-6.3,-14.3,2.2
1926,-14.1,-15.8,-6,-1.5,6.8,15.4,14.5,15.4,9.2,2.5,-3.9,-15.2,0.6
1927,-20.8,-13.2,-11.7,3.9,13.6,17.6,19.8,15.9,11.4,1.2,-7.2,-19.8,0.9
1928,-16.8,-14.1,-10.3,0.5,10.6,15.4,18.6,15.9,11.2,2.1,-9,-13,0.9
1929,-18.8,-21.1,-8.5,2,9.3,18.9,20.2,15.6,8.9,3.9,-4.3,-21.2,0.4
1930,-15,-17.8,-5.6,1.2,10.2,16.5,17.6,16.5,9.1,2,-5,-16.5,1.1
1931,-16.3,-19.8,-7.3,2.8,10.6,18.9,20.6,16.6,10.8,3.6,-7.5,-14.2,1.6
1932,-10.9,-14.6,-8.1,5.1,9.5,16.1,17.9,17,10.6,4.8,-6.7,-14.6,2.2
1933,-19.3,-19.9,-10.1,4.3,9.5,15.1,20.1,15.1,8.9,2.6,-7.6,-19.1,0
1934,-11.1,-9.2,-9.3,0.3,12.6,15.1,15.3,17.5,6.5,4.1,-2.8,-13.7,2.1
1935,-14.5,-9.2,-7.2,4.6,10.6,17.6,17.4,17.4,10.7,2.8,-9.2,-13.7,2.3
1936,-13.6,-11.9,-7.7,2,8.8,17.7,19,16.9,11,4.2,-2.4,-7.9,3
1937,-14.8,-13.3,-10.9,1.1,8.1,17.9,18.7,15.3,10.4,4,-6.4,-18.9,0.9
1938,-20,-14.2,-8.1,6.8,12.9,16,16.5,16.8,11.1,1.1,-4.1,-20.1,1.2
1939,-16.6,-10.7,-6.3,4.6,10.5,18.4,18.6,13.4,7.9,0.8,-5.5,-10.2,2.1
1940,-25,-15,-7,6,7,16.9,19.8,18.3,12.2,-2.3,-4.5,-15.8,0.9
1941,-18.9,-17.8,-7,-1.3,8,16,16.1,15,9.9,0.7,-12.6,-17.1,-0.8
1942,-18.9,-13.8,-12.2,0.4,9.9,17.8,18,15.3,8.6,1.5,-5.8,-12.8,0.7
1943,-21.9,-13.3,-7.6,5.1,15.1,14.7,18.4,16.5,9.3,1.3,-8.2,-11.8,1.5
1944,-13.6,-13.1,-3.4,4.3,11.4,17.4,16.5,15,11.1,3.3,-11.4,-13,2
1945,-20,-17.8,-10.1,2.5,7.8,16.9,16.1,17.9,9.9,1.5,-9.2,-21.3,-0.5
1946,-14.6,-11.1,-8.9,2.7,9.7,14.1,18,15.5,8.4,-0.3,-6.7,-16.9,0.8
1947,-18.6,-17.1,-5.9,5.4,8.8,14,15.9,15.5,9.8,4,-2.7,-18.3,0.9
1948,-11.3,-14.3,-8.5,1,14.1,17.6,17.5,15.2,10.4,3.8,-4.6,-17.7,1.9
1949,-8.6,-14.8,-9.3,2.9,10.7,17.3,16.5,19,6.6,1.2,-7.5,-15.9,1.5
1950,-24.4,-14.2,-6.4,4.8,10.2,15.1,17.9,14.9,11,2.6,-12.2,-10,0.8
1951,-16.5,-22.3,-4.4,9.2,9.6,16,19.8,16.4,11.6,0.7,-9.1,-8.6,1.9
1952,-14,-15.4,-10.6,-1.3,12.2,16.8,20,15.7,12.3,-0.2,-15.1,-13.4,0.6
1953,-15.3,-17.8,-8,6.5,11.6,14,19.2,18.1,10.3,0,-17.9,-12.5,0.7
1954,-20.2,-23.7,-8.6,2.7,9.3,16,19.3,13.9,11.8,4.5,-7.1,-15.3,0.2
